Image Name,Number,Gender,Hand,Finger
1__M_Right_thumb_finger.BMP,1,M,Right,thumb
1__M_Right_ring_finger.BMP,1,M,Right,ring
1__M_Right_middle_finger.BMP,1,M,Right,middle
1__M_Right_little_finger.BMP,1,M,Right,little
1__M_Right_index_finger.BMP,1,M,Right,index
1__M_Left_thumb_finger.BMP,1,M,Left,thumb
1__M_Left_ring_finger.BMP,1,M,Left,ring
1__M_Left_middle_finger.BMP,1,M,Left,middle
1__M_Left_little_finger.BMP,1,M,Left,little
1__M_Left_index_finger.BMP,1,M,Left,index
2__F_Left_middle_finger.BMP,2,F,Left,middle
2__F_Left_ring_finger.BMP,2,F,Left,ring
2__F_Left_thumb_finger.BMP,2,F,Left,thumb
2__F_Right_index_finger.BMP,2,F,Right,index
2__F_Left_little_finger.BMP,2,F,Left,little
2__F_Right_little_finger.BMP,2,F,Right,little
2__F_Right_ring_finger.BMP,2,F,Right,ring
2__F_Right_middle_finger.BMP,2,F,Right,middle
2__F_Left_index_finger.BMP,2,F,Left,index
2__F_Right_thumb_finger.BMP,2,F,Right,thumb
4__M_Left_middle_finger.BMP,4,M,Left,middle
4__M_Left_index_finger.BMP,4,M,Left,index
4__M_Left_ring_finger.BMP,4,M,Left,ring
4__M_Left_little_finger.BMP,4,M,Left,little
4__M_Left_thumb_finger.BMP,4,M,Left,thumb
4__M_Right_thumb_finger.BMP,4,M,Right,thumb
4__M_Right_middle_finger.BMP,4,M,Right,middle
4__M_Right_little_finger.BMP,4,M,Right,little
4__M_Right_index_finger.BMP,4,M,Right,index
4__M_Right_ring_finger.BMP,4,M,Right,ring
5__M_Right_index_finger.BMP,5,M,Right,index
5__M_Right_little_finger.BMP,5,M,Right,little
5__M_Right_middle_finger.BMP,5,M,Right,middle
5__M_Left_ring_finger.BMP,5,M,Left,ring
5__M_Left_middle_finger.BMP,5,M,Left,middle
5__M_Left_little_finger.BMP,5,M,Left,little
5__M_Right_ring_finger.BMP,5,M,Right,ring
5__M_Right_thumb_finger.BMP,5,M,Right,thumb
5__M_Left_index_finger.BMP,5,M,Left,index
