Image Name,Number,Gender,Hand,Finger,Alteration
102__M_Left_index_finger_CR.BMP,102,M,Left,index,CR
102__M_Left_index_finger_Obl.BMP,102,M,Left,index,Obl
102__M_Left_little_finger_CR.BMP,102,M,Left,little,CR
102__M_Left_little_finger_Obl.BMP,102,M,Left,little,Obl
102__M_Left_little_finger_Zcut.BMP,102,M,Left,little,Zcut
102__M_Left_middle_finger_CR.BMP,102,M,Left,middle,CR
102__M_Left_middle_finger_Obl.BMP,102,M,Left,middle,Obl
102__M_Left_middle_finger_Zcut.BMP,102,M,Left,middle,Zcut
102__M_Left_ring_finger_CR.BMP,102,M,Left,ring,CR
102__M_Left_ring_finger_Obl.BMP,102,M,Left,ring,Obl
102__M_Left_ring_finger_Zcut.BMP,102,M,Left,ring,Zcut
102__M_Left_thumb_finger_Obl.BMP,102,M,Left,thumb,Obl
102__M_Right_index_finger_Obl.BMP,102,M,Right,index,Obl
102__M_Right_little_finger_CR.BMP,102,M,Right,little,CR
102__M_Right_little_finger_Obl.BMP,102,M,Right,little,Obl
102__M_Right_middle_finger_Obl.BMP,102,M,Right,middle,Obl
102__M_Right_ring_finger_Obl.BMP,102,M,Right,ring,Obl
102__M_Right_thumb_finger_CR.BMP,102,M,Right,thumb,CR
102__M_Right_thumb_finger_Obl.BMP,102,M,Right,thumb,Obl
102__M_Right_thumb_finger_Zcut.BMP,102,M,Right,thumb,Zcut
105__M_Left_index_finger_CR.BMP,105,M,Left,index,CR
105__M_Left_index_finger_Obl.BMP,105,M,Left,index,Obl
105__M_Left_index_finger_Zcut.BMP,105,M,Left,index,Zcut
105__M_Left_little_finger_CR.BMP,105,M,Left,little,CR
105__M_Left_little_finger_Obl.BMP,105,M,Left,little,Obl
105__M_Left_little_finger_Zcut.BMP,105,M,Left,little,Zcut
105__M_Left_middle_finger_CR.BMP,105,M,Left,middle,CR
105__M_Left_middle_finger_Obl.BMP,105,M,Left,middle,Obl
105__M_Left_middle_finger_Zcut.BMP,105,M,Left,middle,Zcut
105__M_Left_ring_finger_CR.BMP,105,M,Left,ring,CR
105__M_Left_ring_finger_Obl.BMP,105,M,Left,ring,Obl
105__M_Left_ring_finger_Zcut.BMP,105,M,Left,ring,Zcut
105__M_Left_thumb_finger_CR.BMP,105,M,Left,thumb,CR
105__M_Left_thumb_finger_Obl.BMP,105,M,Left,thumb,Obl
105__M_Left_thumb_finger_Zcut.BMP,105,M,Left,thumb,Zcut
105__M_Right_index_finger_CR.BMP,105,M,Right,index,CR
105__M_Right_index_finger_Obl.BMP,105,M,Right,index,Obl
105__M_Right_index_finger_Zcut.BMP,105,M,Right,index,Zcut
105__M_Right_little_finger_Obl.BMP,105,M,Right,little,Obl
105__M_Right_little_finger_Zcut.BMP,105,M,Right,little,Zcut
105__M_Right_middle_finger_CR.BMP,105,M,Right,middle,CR
105__M_Right_middle_finger_Obl.BMP,105,M,Right,middle,Obl
105__M_Right_ring_finger_CR.BMP,105,M,Right,ring,CR
105__M_Right_ring_finger_Obl.BMP,105,M,Right,ring,Obl
105__M_Right_ring_finger_Zcut.BMP,105,M,Right,ring,Zcut
105__M_Right_thumb_finger_Obl.BMP,105,M,Right,thumb,Obl
109__F_Left_index_finger_CR.BMP,109,F,Left,index,CR
109__F_Left_index_finger_Obl.BMP,109,F,Left,index,Obl
109__F_Left_index_finger_Zcut.BMP,109,F,Left,index,Zcut
109__F_Left_little_finger_CR.BMP,109,F,Left,little,CR
109__F_Left_little_finger_Obl.BMP,109,F,Left,little,Obl
109__F_Left_middle_finger_CR.BMP,109,F,Left,middle,CR
109__F_Left_middle_finger_Obl.BMP,109,F,Left,middle,Obl
109__F_Left_middle_finger_Zcut.BMP,109,F,Left,middle,Zcut
109__F_Left_ring_finger_CR.BMP,109,F,Left,ring,CR
109__F_Left_ring_finger_Obl.BMP,109,F,Left,ring,Obl
109__F_Left_thumb_finger_CR.BMP,109,F,Left,thumb,CR
109__F_Left_thumb_finger_Obl.BMP,109,F,Left,thumb,Obl
109__F_Right_index_finger_CR.BMP,109,F,Right,index,CR
109__F_Right_index_finger_Obl.BMP,109,F,Right,index,Obl
109__F_Right_index_finger_Zcut.BMP,109,F,Right,index,Zcut
109__F_Right_little_finger_CR.BMP,109,F,Right,little,CR
109__F_Right_little_finger_Obl.BMP,109,F,Right,little,Obl
109__F_Right_little_finger_Zcut.BMP,109,F,Right,little,Zcut
109__F_Right_middle_finger_CR.BMP,109,F,Right,middle,CR
