Image Name,Number,Gender,Hand,Finger
2__F_Left_middle_finger.BMP,2,F,Left,middle
2__F_Left_ring_finger.BMP,2,F,Left,ring
2__F_Left_thumb_finger.BMP,2,F,Left,thumb
2__F_Right_index_finger.BMP,2,F,Right,index
2__F_Left_little_finger.BMP,2,F,Left,little
2__F_Right_little_finger.BMP,2,F,Right,little
2__F_Right_ring_finger.BMP,2,F,Right,ring
2__F_Right_middle_finger.BMP,2,F,Right,middle
2__F_Left_index_finger.BMP,2,F,Left,index
2__F_Right_thumb_finger.BMP,2,F,Right,thumb
5__M_Right_index_finger.BMP,5,M,Right,index
5__M_Right_little_finger.BMP,5,M,Right,little
5__M_Right_middle_finger.BMP,5,M,Right,middle
5__M_Left_ring_finger.BMP,5,M,Left,ring
5__M_Left_middle_finger.BMP,5,M,Left,middle
5__M_Left_little_finger.BMP,5,M,Left,little
5__M_Right_ring_finger.BMP,5,M,Right,ring
5__M_Right_thumb_finger.BMP,5,M,Right,thumb
5__M_Left_index_finger.BMP,5,M,Left,index
5__M_Left_thumb_finger.BMP,5,M,Left,thumb
9__M_Right_thumb_finger.BMP,9,M,Right,thumb
9__M_Left_thumb_finger.BMP,9,M,Left,thumb
9__M_Right_middle_finger.BMP,9,M,Right,middle
9__M_Left_index_finger.BMP,9,M,Left,index
9__M_Left_little_finger.BMP,9,M,Left,little
9__M_Left_middle_finger.BMP,9,M,Left,middle
9__M_Left_ring_finger.BMP,9,M,Left,ring
9__M_Right_ring_finger.BMP,9,M,Right,ring
9__M_Right_index_finger.BMP,9,M,Right,index
9__M_Right_little_finger.BMP,9,M,Right,little
13__F_Right_middle_finger.BMP,13,F,Right,middle
13__F_Right_little_finger.BMP,13,F,Right,little
13__F_Right_index_finger.BMP,13,F,Right,index
13__F_Left_thumb_finger.BMP,13,F,Left,thumb
13__F_Right_ring_finger.BMP,13,F,Right,ring
13__F_Left_middle_finger.BMP,13,F,Left,middle
13__F_Left_little_finger.BMP,13,F,Left,little
13__F_Left_index_finger.BMP,13,F,Left,index
13__F_Right_thumb_finger.BMP,13,F,Right,thumb
13__F_Left_ring_finger.BMP,13,F,Left,ring
14__M_Left_index_finger.BMP,14,M,Left,index
14__M_Right_ring_finger.BMP,14,M,Right,ring
14__M_Left_thumb_finger.BMP,14,M,Left,thumb
14__M_Left_little_finger.BMP,14,M,Left,little
14__M_Left_middle_finger.BMP,14,M,Left,middle
14__M_Left_ring_finger.BMP,14,M,Left,ring
14__M_Right_index_finger.BMP,14,M,Right,index
14__M_Right_little_finger.BMP,14,M,Right,little
14__M_Right_middle_finger.BMP,14,M,Right,middle
14__M_Right_thumb_finger.BMP,14,M,Right,thumb
15__F_Right_thumb_finger.BMP,15,F,Right,thumb
15__F_Left_index_finger.BMP,15,F,Left,index
15__F_Left_little_finger.BMP,15,F,Left,little
15__F_Right_ring_finger.BMP,15,F,Right,ring
15__F_Right_middle_finger.BMP,15,F,Right,middle
15__F_Right_little_finger.BMP,15,F,Right,little
15__F_Right_index_finger.BMP,15,F,Right,index
15__F_Left_thumb_finger.BMP,15,F,Left,thumb
15__F_Left_ring_finger.BMP,15,F,Left,ring
15__F_Left_middle_finger.BMP,15,F,Left,middle
21__M_Right_little_finger.BMP,21,M,Right,little
21__M_Right_thumb_finger.BMP,21,M,Right,thumb
21__M_Right_ring_finger.BMP,21,M,Right,ring
21__M_Right_middle_finger.BMP,21,M,Right,middle
21__M_Right_index_finger.BMP,21,M,Right,index
21__M_Left_little_finger.BMP,21,M,Left,little
21__M_Left_ring_finger.BMP,21,M,Left,ring
21__M_Left_middle_finger.BMP,21,M,Left,middle
21__M_Left_index_finger.BMP,21,M,Left,index
21__M_Left_thumb_finger.BMP,21,M,Left,thumb
22__M_Right_ring_finger.BMP,22,M,Right,ring
22__M_Left_index_finger.BMP,22,M,Left,index
22__M_Left_little_finger.BMP,22,M,Left,little
22__M_Left_middle_finger.BMP,22,M,Left,middle
22__M_Left_ring_finger.BMP,22,M,Left,ring
22__M_Left_thumb_finger.BMP,22,M,Left,thumb
22__M_Right_index_finger.BMP,22,M,Right,index
22__M_Right_little_finger.BMP,22,M,Right,little
22__M_Right_middle_finger.BMP,22,M,Right,middle
22__M_Right_thumb_finger.BMP,22,M,Right,thumb
28__M_Right_thumb_finger.BMP,28,M,Right,thumb
28__M_Right_index_finger.BMP,28,M,Right,index
28__M_Right_ring_finger.BMP,28,M,Right,ring
28__M_Right_middle_finger.BMP,28,M,Right,middle
28__M_Left_thumb_finger.BMP,28,M,Left,thumb
28__M_Right_little_finger.BMP,28,M,Right,little
28__M_Left_middle_finger.BMP,28,M,Left,middle
28__M_Left_ring_finger.BMP,28,M,Left,ring
28__M_Left_little_finger.BMP,28,M,Left,little
28__M_Left_index_finger.BMP,28,M,Left,index
29__F_Right_ring_finger.BMP,29,F,Right,ring
29__F_Right_middle_finger.BMP,29,F,Right,middle
29__F_Right_little_finger.BMP,29,F,Right,little
29__F_Right_index_finger.BMP,29,F,Right,index
29__F_Left_thumb_finger.BMP,29,F,Left,thumb
29__F_Right_thumb_finger.BMP,29,F,Right,thumb
29__F_Left_middle_finger.BMP,29,F,Left,middle
29__F_Left_little_finger.BMP,29,F,Left,little
29__F_Left_index_finger.BMP,29,F,Left,index
29__F_Left_ring_finger.BMP,29,F,Left,ring
33__M_Right_thumb_finger.BMP,33,M,Right,thumb
33__M_Right_ring_finger.BMP,33,M,Right,ring
33__M_Right_index_finger.BMP,33,M,Right,index
33__M_Right_middle_finger.BMP,33,M,Right,middle
33__M_Right_little_finger.BMP,33,M,Right,little
33__M_Left_thumb_finger.BMP,33,M,Left,thumb
33__M_Left_middle_finger.BMP,33,M,Left,middle
33__M_Left_little_finger.BMP,33,M,Left,little
33__M_Left_index_finger.BMP,33,M,Left,index
33__M_Left_ring_finger.BMP,33,M,Left,ring
35__M_Right_little_finger.BMP,35,M,Right,little
35__M_Right_thumb_finger.BMP,35,M,Right,thumb
35__M_Right_ring_finger.BMP,35,M,Right,ring
35__M_Right_middle_finger.BMP,35,M,Right,middle
35__M_Right_index_finger.BMP,35,M,Right,index
35__M_Left_middle_finger.BMP,35,M,Left,middle
35__M_Left_ring_finger.BMP,35,M,Left,ring
35__M_Left_thumb_finger.BMP,35,M,Left,thumb
35__M_Left_little_finger.BMP,35,M,Left,little
35__M_Left_index_finger.BMP,35,M,Left,index
36__M_Right_ring_finger.BMP,36,M,Right,ring
36__M_Right_middle_finger.BMP,36,M,Right,middle
36__M_Right_little_finger.BMP,36,M,Right,little
36__M_Right_index_finger.BMP,36,M,Right,index
36__M_Left_thumb_finger.BMP,36,M,Left,thumb
36__M_Right_thumb_finger.BMP,36,M,Right,thumb
36__M_Left_middle_finger.BMP,36,M,Left,middle
36__M_Left_little_finger.BMP,36,M,Left,little
36__M_Left_index_finger.BMP,36,M,Left,index
36__M_Left_ring_finger.BMP,36,M,Left,ring
37__M_Right_thumb_finger.BMP,37,M,Right,thumb
37__M_Right_ring_finger.BMP,37,M,Right,ring
37__M_Right_middle_finger.BMP,37,M,Right,middle
37__M_Right_little_finger.BMP,37,M,Right,little
37__M_Right_index_finger.BMP,37,M,Right,index
37__M_Left_thumb_finger.BMP,37,M,Left,thumb
37__M_Left_middle_finger.BMP,37,M,Left,middle
37__M_Left_little_finger.BMP,37,M,Left,little
37__M_Left_index_finger.BMP,37,M,Left,index
37__M_Left_ring_finger.BMP,37,M,Left,ring
39__M_Right_ring_finger.BMP,39,M,Right,ring
39__M_Right_middle_finger.BMP,39,M,Right,middle
39__M_Right_little_finger.BMP,39,M,Right,little
39__M_Right_index_finger.BMP,39,M,Right,index
39__M_Left_thumb_finger.BMP,39,M,Left,thumb
39__M_Right_thumb_finger.BMP,39,M,Right,thumb
