Image_Name,Number,Gender,Hand,Finger,Alteration,Difficulty
100__M_Left_index_finger_CR.BMP,100,M,Left,index,CR,Easy
100__M_Left_index_finger_Obl.BMP,100,M,Left,index,Obl,Easy
100__M_Left_index_finger_Zcut.BMP,100,M,Left,index,Zcut,Easy
100__M_Left_little_finger_CR.BMP,100,M,Left,little,CR,Easy
100__M_Left_little_finger_Obl.BMP,100,M,Left,little,Obl,Easy
100__M_Left_little_finger_Zcut.BMP,100,M,Left,little,Zcut,Easy
100__M_Left_middle_finger_CR.BMP,100,M,Left,middle,CR,Easy
100__M_Left_middle_finger_Obl.BMP,100,M,Left,middle,Obl,Easy
100__M_Left_middle_finger_Zcut.BMP,100,M,Left,middle,Zcut,Easy
100__M_Left_thumb_finger_CR.BMP,100,M,Left,thumb,CR,Easy
100__M_Left_thumb_finger_Obl.BMP,100,M,Left,thumb,Obl,Easy
100__M_Left_thumb_finger_Zcut.BMP,100,M,Left,thumb,Zcut,Easy
100__M_Right_little_finger_CR.BMP,100,M,Right,little,CR,Easy
100__M_Right_little_finger_Obl.BMP,100,M,Right,little,Obl,Easy
100__M_Right_little_finger_Zcut.BMP,100,M,Right,little,Zcut,Easy
100__M_Right_middle_finger_CR.BMP,100,M,Right,middle,CR,Easy
100__M_Right_middle_finger_Obl.BMP,100,M,Right,middle,Obl,Easy
100__M_Right_middle_finger_Zcut.BMP,100,M,Right,middle,Zcut,Easy
100__M_Right_ring_finger_CR.BMP,100,M,Right,ring,CR,Easy
100__M_Right_ring_finger_Obl.BMP,100,M,Right,ring,Obl,Easy
100__M_Right_ring_finger_Zcut.BMP,100,M,Right,ring,Zcut,Easy
100__M_Right_thumb_finger_CR.BMP,100,M,Right,thumb,CR,Easy
100__M_Right_thumb_finger_Obl.BMP,100,M,Right,thumb,Obl,Easy
100__M_Right_thumb_finger_Zcut.BMP,100,M,Right,thumb,Zcut,Easy
101__M_Left_index_finger_CR.BMP,101,M,Left,index,CR,Easy
101__M_Left_index_finger_Obl.BMP,101,M,Left,index,Obl,Easy
101__M_Left_index_finger_Zcut.BMP,101,M,Left,index,Zcut,Easy
