Image Name,Number,Gender,Hand,Finger
390__F_Left_index_finger.BMP,390,F,Left,index
563__M_Right_thumb_finger.BMP,563,M,Right,thumb
176__M_Right_index_finger.BMP,176,M,Right,index
235__M_Right_index_finger.BMP,235,M,Right,index
300__F_Left_ring_finger.BMP,300,F,Left,ring
160__M_Left_thumb_finger.BMP,160,M,Left,thumb
597__M_Right_middle_finger.BMP,597,M,Right,middle
326__M_Right_little_finger.BMP,326,M,Right,little
83__M_Right_index_finger.BMP,83,M,Right,index
587__M_Left_ring_finger.BMP,587,M,Left,ring
186__M_Left_ring_finger.BMP,186,M,Left,ring
44__M_Left_index_finger.BMP,44,M,Left,index
63__M_Left_middle_finger.BMP,63,M,Left,middle
598__M_Left_little_finger.BMP,598,M,Left,little
288__M_Right_thumb_finger.BMP,288,M,Right,thumb
93__M_Right_middle_finger.BMP,93,M,Right,middle
413__M_Left_little_finger.BMP,413,M,Left,little
488__M_Right_middle_finger.BMP,488,M,Right,middle
574__F_Left_middle_finger.BMP,574,F,Left,middle
287__M_Right_thumb_finger.BMP,287,M,Right,thumb
596__M_Right_ring_finger.BMP,596,M,Right,ring
118__F_Left_ring_finger.BMP,118,F,Left,ring
337__F_Right_little_finger.BMP,337,F,Right,little
320__M_Right_little_finger.BMP,320,M,Right,little
95__M_Left_thumb_finger.BMP,95,M,Left,thumb
477__M_Right_index_finger.BMP,477,M,Right,index
229__M_Right_middle_finger.BMP,229,M,Right,middle
2__F_Left_thumb_finger.BMP,2,F,Left,thumb
112__M_Left_little_finger.BMP,112,M,Left,little
437__M_Left_thumb_finger.BMP,437,M,Left,thumb
366__M_Left_thumb_finger.BMP,366,M,Left,thumb
570__M_Left_ring_finger.BMP,570,M,Left,ring
65__M_Right_middle_finger.BMP,65,M,Right,middle
259__M_Right_middle_finger.BMP,259,M,Right,middle
471__M_Left_middle_finger.BMP,471,M,Left,middle
268__M_Left_middle_finger.BMP,268,M,Left,middle
430__F_Right_thumb_finger.BMP,430,F,Right,thumb
508__F_Right_ring_finger.BMP,508,F,Right,ring
549__M_Left_little_finger.BMP,549,M,Left,little
293__F_Right_ring_finger.BMP,293,F,Right,ring
254__M_Right_middle_finger.BMP,254,M,Right,middle
477__M_Left_thumb_finger.BMP,477,M,Left,thumb
227__M_Right_index_finger.BMP,227,M,Right,index
66__F_Left_ring_finger.BMP,66,F,Left,ring
43__F_Left_ring_finger.BMP,43,F,Left,ring
376__F_Right_index_finger.BMP,376,F,Right,index
332__M_Left_thumb_finger.BMP,332,M,Left,thumb
252__F_Right_ring_finger.BMP,252,F,Right,ring
402__M_Left_index_finger.BMP,402,M,Left,index
317__M_Right_middle_finger.BMP,317,M,Right,middle
361__M_Left_index_finger.BMP,361,M,Left,index
84__M_Right_ring_finger.BMP,84,M,Right,ring
109__F_Right_ring_finger.BMP,109,F,Right,ring
173__F_Left_index_finger.BMP,173,F,Left,index
581__F_Left_little_finger.BMP,581,F,Left,little
132__M_Right_thumb_finger.BMP,132,M,Right,thumb
134__M_Right_index_finger.BMP,134,M,Right,index
416__M_Left_thumb_finger.BMP,416,M,Left,thumb
86__M_Left_ring_finger.BMP,86,M,Left,ring
142__F_Right_ring_finger.BMP,142,F,Right,ring
252__F_Right_index_finger.BMP,252,F,Right,index
230__M_Left_ring_finger.BMP,230,M,Left,ring
354__M_Left_ring_finger.BMP,354,M,Left,ring
161__F_Right_thumb_finger.BMP,161,F,Right,thumb
520__M_Left_ring_finger.BMP,520,M,Left,ring
70__M_Right_ring_finger.BMP,70,M,Right,ring
415__M_Left_index_finger.BMP,415,M,Left,index
267__M_Left_little_finger.BMP,267,M,Left,little
19__M_Right_ring_finger.BMP,19,M,Right,ring
29__F_Left_little_finger.BMP,29,F,Left,little
342__M_Right_thumb_finger.BMP,342,M,Right,thumb
554__M_Left_ring_finger.BMP,554,M,Left,ring
421__F_Right_index_finger.BMP,421,F,Right,index
397__M_Right_little_finger.BMP,397,M,Right,little
378__F_Right_index_finger.BMP,378,F,Right,index
322__M_Left_thumb_finger.BMP,322,M,Left,thumb
234__M_Right_middle_finger.BMP,234,M,Right,middle
599__M_Left_middle_finger.BMP,599,M,Left,middle
410__M_Right_middle_finger.BMP,410,M,Right,middle
215__M_Right_thumb_finger.BMP,215,M,Right,thumb
299__M_Left_middle_finger.BMP,299,M,Left,middle
22__M_Right_ring_finger.BMP,22,M,Right,ring
561__M_Left_little_finger.BMP,561,M,Left,little
500__M_Right_index_finger.BMP,500,M,Right,index
311__M_Right_little_finger.BMP,311,M,Right,little
8__M_Left_ring_finger.BMP,8,M,Left,ring
577__M_Left_ring_finger.BMP,577,M,Left,ring
283__M_Left_index_finger.BMP,283,M,Left,index
479__F_Left_middle_finger.BMP,479,F,Left,middle
595__M_Left_thumb_finger.BMP,595,M,Left,thumb
425__M_Left_ring_finger.BMP,425,M,Left,ring
283__M_Right_thumb_finger.BMP,283,M,Right,thumb
331__M_Left_ring_finger.BMP,331,M,Left,ring
560__F_Left_thumb_finger.BMP,560,F,Left,thumb
215__M_Left_ring_finger.BMP,215,M,Left,ring
124__M_Left_index_finger.BMP,124,M,Left,index
536__F_Left_ring_finger.BMP,536,F,Left,ring
335__M_Left_index_finger.BMP,335,M,Left,index
587__M_Right_index_finger.BMP,587,M,Right,index
440__M_Right_ring_finger.BMP,440,M,Right,ring
12__M_Left_middle_finger.BMP,12,M,Left,middle
509__M_Left_little_finger.BMP,509,M,Left,little
426__M_Right_thumb_finger.BMP,426,M,Right,thumb
545__M_Right_middle_finger.BMP,545,M,Right,middle
320__M_Left_thumb_finger.BMP,320,M,Left,thumb
246__M_Right_index_finger.BMP,246,M,Right,index
295__M_Right_thumb_finger.BMP,295,M,Right,thumb
184__M_Left_index_finger.BMP,184,M,Left,index
197__M_Left_little_finger.BMP,197,M,Left,little
190__M_Left_middle_finger.BMP,190,M,Left,middle
183__M_Right_index_finger.BMP,183,M,Right,index
434__M_Left_thumb_finger.BMP,434,M,Left,thumb
445__M_Left_ring_finger.BMP,445,M,Left,ring
346__M_Left_index_finger.BMP,346,M,Left,index
354__M_Left_middle_finger.BMP,354,M,Left,middle
26__M_Right_middle_finger.BMP,26,M,Right,middle
36__M_Right_ring_finger.BMP,36,M,Right,ring
276__M_Left_little_finger.BMP,276,M,Left,little
456__M_Left_little_finger.BMP,456,M,Left,little
46__M_Left_little_finger.BMP,46,M,Left,little
585__M_Left_thumb_finger.BMP,585,M,Left,thumb
48__F_Left_ring_finger.BMP,48,F,Left,ring
112__M_Right_index_finger.BMP,112,M,Right,index
80__M_Left_index_finger.BMP,80,M,Left,index
423__M_Left_middle_finger.BMP,423,M,Left,middle
268__M_Right_middle_finger.BMP,268,M,Right,middle
310__M_Right_index_finger.BMP,310,M,Right,index
3__M_Right_middle_finger.BMP,3,M,Right,middle
308__M_Left_ring_finger.BMP,308,M,Left,ring
276__M_Right_thumb_finger.BMP,276,M,Right,thumb
328__M_Right_middle_finger.BMP,328,M,Right,middle
175__M_Right_little_finger.BMP,175,M,Right,little
129__M_Left_little_finger.BMP,129,M,Left,little
129__M_Left_middle_finger.BMP,129,M,Left,middle
494__F_Left_thumb_finger.BMP,494,F,Left,thumb
262__M_Right_ring_finger.BMP,262,M,Right,ring
207__M_Left_ring_finger.BMP,207,M,Left,ring
220__F_Left_little_finger.BMP,220,F,Left,little
465__F_Left_thumb_finger.BMP,465,F,Left,thumb
516__M_Right_middle_finger.BMP,516,M,Right,middle
472__M_Left_middle_finger.BMP,472,M,Left,middle
196__M_Right_ring_finger.BMP,196,M,Right,ring
458__M_Left_index_finger.BMP,458,M,Left,index
292__M_Left_ring_finger.BMP,292,M,Left,ring
494__F_Right_index_finger.BMP,494,F,Right,index
61__M_Right_ring_finger.BMP,61,M,Right,ring
410__M_Right_index_finger.BMP,410,M,Right,index
481__F_Right_index_finger.BMP,481,F,Right,index
341__M_Left_thumb_finger.BMP,341,M,Left,thumb
586__M_Right_index_finger.BMP,586,M,Right,index
395__M_Left_index_finger.BMP,395,M,Left,index
486__M_Right_ring_finger.BMP,486,M,Right,ring
590__M_Right_little_finger.BMP,590,M,Right,little
451__M_Left_ring_finger.BMP,451,M,Left,ring
21__M_Right_middle_finger.BMP,21,M,Right,middle
34__M_Left_ring_finger.BMP,34,M,Left,ring
84__M_Left_thumb_finger.BMP,84,M,Left,thumb
436__M_Left_index_finger.BMP,436,M,Left,index
39__M_Left_little_finger.BMP,39,M,Left,little
416__M_Left_little_finger.BMP,416,M,Left,little
483__M_Left_middle_finger.BMP,483,M,Left,middle
258__M_Left_middle_finger.BMP,258,M,Left,middle
379__F_Left_thumb_finger.BMP,379,F,Left,thumb
303__F_Right_little_finger.BMP,303,F,Right,little
343__M_Left_middle_finger.BMP,343,M,Left,middle
339__M_Right_little_finger.BMP,339,M,Right,little
467__M_Left_thumb_finger.BMP,467,M,Left,thumb
224__M_Left_ring_finger.BMP,224,M,Left,ring
166__M_Left_middle_finger.BMP,166,M,Left,middle
325__M_Left_little_finger.BMP,325,M,Left,little
491__M_Left_ring_finger.BMP,491,M,Left,ring
68__M_Left_thumb_finger.BMP,68,M,Left,thumb
387__F_Right_middle_finger.BMP,387,F,Right,middle
154__F_Left_index_finger.BMP,154,F,Left,index
192__M_Right_little_finger.BMP,192,M,Right,little
7__M_Left_thumb_finger.BMP,7,M,Left,thumb
366__M_Left_index_finger.BMP,366,M,Left,index
414__M_Left_thumb_finger.BMP,414,M,Left,thumb
436__M_Left_little_finger.BMP,436,M,Left,little
149__F_Right_thumb_finger.BMP,149,F,Right,thumb
80__M_Right_ring_finger.BMP,80,M,Right,ring
168__M_Right_thumb_finger.BMP,168,M,Right,thumb
321__M_Left_little_finger.BMP,321,M,Left,little
544__M_Right_index_finger.BMP,544,M,Right,index
312__M_Left_ring_finger.BMP,312,M,Left,ring
495__M_Right_middle_finger.BMP,495,M,Right,middle
424__M_Left_thumb_finger.BMP,424,M,Left,thumb
535__M_Left_index_finger.BMP,535,M,Left,index
375__M_Left_ring_finger.BMP,375,M,Left,ring
440__M_Left_index_finger.BMP,440,M,Left,index
260__M_Right_middle_finger.BMP,260,M,Right,middle
401__M_Left_ring_finger.BMP,401,M,Left,ring
210__M_Right_little_finger.BMP,210,M,Right,little
74__F_Left_ring_finger.BMP,74,F,Left,ring
370__M_Right_thumb_finger.BMP,370,M,Right,thumb
455__M_Left_index_finger.BMP,455,M,Left,index
396__M_Right_middle_finger.BMP,396,M,Right,middle
509__M_Right_middle_finger.BMP,509,M,Right,middle
185__M_Right_index_finger.BMP,185,M,Right,index
286__M_Right_ring_finger.BMP,286,M,Right,ring
53__M_Left_middle_finger.BMP,53,M,Left,middle
331__M_Right_little_finger.BMP,331,M,Right,little
566__M_Left_thumb_finger.BMP,566,M,Left,thumb
251__M_Right_index_finger.BMP,251,M,Right,index
223__M_Left_thumb_finger.BMP,223,M,Left,thumb
210__M_Right_index_finger.BMP,210,M,Right,index
434__M_Left_ring_finger.BMP,434,M,Left,ring
81__F_Left_ring_finger.BMP,81,F,Left,ring
86__M_Left_thumb_finger.BMP,86,M,Left,thumb
348__F_Right_thumb_finger.BMP,348,F,Right,thumb
242__M_Left_little_finger.BMP,242,M,Left,little
276__M_Right_index_finger.BMP,276,M,Right,index
468__F_Right_index_finger.BMP,468,F,Right,index
165__M_Left_ring_finger.BMP,165,M,Left,ring
22__M_Right_thumb_finger.BMP,22,M,Right,thumb
518__M_Right_index_finger.BMP,518,M,Right,index
129__M_Left_index_finger.BMP,129,M,Left,index
112__M_Left_thumb_finger.BMP,112,M,Left,thumb
59__F_Right_middle_finger.BMP,59,F,Right,middle
317__M_Right_ring_finger.BMP,317,M,Right,ring
5__M_Left_ring_finger.BMP,5,M,Left,ring
578__M_Right_ring_finger.BMP,578,M,Right,ring
246__M_Right_middle_finger.BMP,246,M,Right,middle
595__M_Left_middle_finger.BMP,595,M,Left,middle
153__M_Right_ring_finger.BMP,153,M,Right,ring
313__M_Left_index_finger.BMP,313,M,Left,index
214__M_Right_ring_finger.BMP,214,M,Right,ring
175__M_Left_ring_finger.BMP,175,M,Left,ring
579__M_Left_ring_finger.BMP,579,M,Left,ring
123__M_Right_little_finger.BMP,123,M,Right,little
280__M_Left_thumb_finger.BMP,280,M,Left,thumb
108__M_Right_ring_finger.BMP,108,M,Right,ring
72__M_Right_little_finger.BMP,72,M,Right,little
436__M_Left_middle_finger.BMP,436,M,Left,middle
197__M_Left_index_finger.BMP,197,M,Left,index
68__M_Left_little_finger.BMP,68,M,Left,little
390__F_Left_thumb_finger.BMP,390,F,Left,thumb
311__M_Left_middle_finger.BMP,311,M,Left,middle
205__F_Right_index_finger.BMP,205,F,Right,index
480__M_Left_little_finger.BMP,480,M,Left,little
596__M_Right_little_finger.BMP,596,M,Right,little
90__M_Left_index_finger.BMP,90,M,Left,index
126__F_Left_little_finger.BMP,126,F,Left,little
286__M_Left_thumb_finger.BMP,286,M,Left,thumb
10__M_Left_index_finger.BMP,10,M,Left,index
303__F_Right_ring_finger.BMP,303,F,Right,ring
328__M_Right_ring_finger.BMP,328,M,Right,ring
85__M_Left_little_finger.BMP,85,M,Left,little
404__M_Right_index_finger.BMP,404,M,Right,index
271__M_Left_ring_finger.BMP,271,M,Left,ring
498__M_Right_index_finger.BMP,498,M,Right,index
262__M_Right_thumb_finger.BMP,262,M,Right,thumb
342__M_Right_index_finger.BMP,342,M,Right,index
464__M_Right_ring_finger.BMP,464,M,Right,ring
516__M_Right_ring_finger.BMP,516,M,Right,ring
33__M_Right_index_finger.BMP,33,M,Right,index
436__M_Left_ring_finger.BMP,436,M,Left,ring
214__M_Right_middle_finger.BMP,214,M,Right,middle
373__M_Left_middle_finger.BMP,373,M,Left,middle
34__M_Right_index_finger.BMP,34,M,Right,index
265__M_Right_middle_finger.BMP,265,M,Right,middle
34__M_Right_middle_finger.BMP,34,M,Right,middle
84__M_Left_ring_finger.BMP,84,M,Left,ring
254__M_Left_middle_finger.BMP,254,M,Left,middle
217__M_Left_little_finger.BMP,217,M,Left,little
226__M_Right_ring_finger.BMP,226,M,Right,ring
189__F_Right_little_finger.BMP,189,F,Right,little
217__M_Left_middle_finger.BMP,217,M,Left,middle
74__F_Left_little_finger.BMP,74,F,Left,little
170__M_Right_index_finger.BMP,170,M,Right,index
30__F_Right_ring_finger.BMP,30,F,Right,ring
19__M_Left_thumb_finger.BMP,19,M,Left,thumb
473__M_Left_ring_finger.BMP,473,M,Left,ring
477__M_Right_little_finger.BMP,477,M,Right,little
322__M_Right_ring_finger.BMP,322,M,Right,ring
54__M_Left_index_finger.BMP,54,M,Left,index
284__M_Right_ring_finger.BMP,284,M,Right,ring
272__M_Right_index_finger.BMP,272,M,Right,index
390__F_Right_middle_finger.BMP,390,F,Right,middle
317__M_Left_index_finger.BMP,317,M,Left,index
66__F_Right_ring_finger.BMP,66,F,Right,ring
126__F_Right_thumb_finger.BMP,126,F,Right,thumb
273__M_Right_ring_finger.BMP,273,M,Right,ring
274__M_Left_middle_finger.BMP,274,M,Left,middle
249__M_Right_ring_finger.BMP,249,M,Right,ring
509__M_Left_index_finger.BMP,509,M,Left,index
90__M_Right_thumb_finger.BMP,90,M,Right,thumb
43__F_Left_index_finger.BMP,43,F,Left,index
545__M_Left_index_finger.BMP,545,M,Left,index
200__M_Right_middle_finger.BMP,200,M,Right,middle
201__F_Right_ring_finger.BMP,201,F,Right,ring
144__M_Right_index_finger.BMP,144,M,Right,index
543__M_Right_thumb_finger.BMP,543,M,Right,thumb
123__M_Left_ring_finger.BMP,123,M,Left,ring
289__F_Right_middle_finger.BMP,289,F,Right,middle
234__M_Left_little_finger.BMP,234,M,Left,little
352__M_Right_index_finger.BMP,352,M,Right,index
452__F_Left_index_finger.BMP,452,F,Left,index
592__M_Left_little_finger.BMP,592,M,Left,little
472__M_Right_little_finger.BMP,472,M,Right,little
285__M_Right_middle_finger.BMP,285,M,Right,middle
434__M_Left_middle_finger.BMP,434,M,Left,middle
339__M_Left_ring_finger.BMP,339,M,Left,ring
173__F_Right_thumb_finger.BMP,173,F,Right,thumb
241__M_Left_middle_finger.BMP,241,M,Left,middle
182__M_Right_thumb_finger.BMP,182,M,Right,thumb
542__M_Left_index_finger.BMP,542,M,Left,index
268__M_Left_thumb_finger.BMP,268,M,Left,thumb
496__M_Right_little_finger.BMP,496,M,Right,little
362__M_Right_middle_finger.BMP,362,M,Right,middle
373__M_Left_index_finger.BMP,373,M,Left,index
291__M_Left_ring_finger.BMP,291,M,Left,ring
142__F_Left_ring_finger.BMP,142,F,Left,ring
435__F_Right_ring_finger.BMP,435,F,Right,ring
401__M_Left_little_finger.BMP,401,M,Left,little
572__F_Right_index_finger.BMP,572,F,Right,index
217__M_Right_thumb_finger.BMP,217,M,Right,thumb
184__M_Right_middle_finger.BMP,184,M,Right,middle
113__M_Left_index_finger.BMP,113,M,Left,index
438__M_Right_ring_finger.BMP,438,M,Right,ring
564__M_Left_little_finger.BMP,564,M,Left,little
593__M_Right_middle_finger.BMP,593,M,Right,middle
379__F_Right_little_finger.BMP,379,F,Right,little
31__F_Left_thumb_finger.BMP,31,F,Left,thumb
190__M_Right_middle_finger.BMP,190,M,Right,middle
130__F_Left_middle_finger.BMP,130,F,Left,middle
8__M_Left_index_finger.BMP,8,M,Left,index
415__M_Right_little_finger.BMP,415,M,Right,little
131__M_Right_index_finger.BMP,131,M,Right,index
279__M_Right_middle_finger.BMP,279,M,Right,middle
526__F_Right_ring_finger.BMP,526,F,Right,ring
423__M_Right_index_finger.BMP,423,M,Right,index
167__M_Left_thumb_finger.BMP,167,M,Left,thumb
135__F_Right_thumb_finger.BMP,135,F,Right,thumb
84__M_Right_little_finger.BMP,84,M,Right,little
258__M_Right_middle_finger.BMP,258,M,Right,middle
146__M_Left_middle_finger.BMP,146,M,Left,middle
321__M_Left_middle_finger.BMP,321,M,Left,middle
325__M_Left_middle_finger.BMP,325,M,Left,middle
24__F_Right_thumb_finger.BMP,24,F,Right,thumb
10__M_Left_ring_finger.BMP,10,M,Left,ring
571__F_Left_ring_finger.BMP,571,F,Left,ring
295__M_Right_index_finger.BMP,295,M,Right,index
252__F_Right_little_finger.BMP,252,F,Right,little
278__M_Left_index_finger.BMP,278,M,Left,index
261__M_Left_little_finger.BMP,261,M,Left,little
531__M_Left_index_finger.BMP,531,M,Left,index
344__M_Left_index_finger.BMP,344,M,Left,index
101__M_Right_middle_finger.BMP,101,M,Right,middle
205__F_Left_middle_finger.BMP,205,F,Left,middle
518__M_Left_thumb_finger.BMP,518,M,Left,thumb
343__M_Left_index_finger.BMP,343,M,Left,index
262__M_Left_ring_finger.BMP,262,M,Left,ring
151__M_Left_ring_finger.BMP,151,M,Left,ring
96__M_Right_ring_finger.BMP,96,M,Right,ring
381__M_Right_ring_finger.BMP,381,M,Right,ring
